,study,sc_DA,sc_AQUACROP,nens,DAtype,DA_loc_domain,DA_OBS_loc,damping,dataErr,parallel,refModel,datetime,weather_scenario
0,Ks_scenarii,1,7,64,enkf_Evensen2009_Sakov,,0,1.0,1e+99,1,EOMAJI_AquaCrop_sc7_weather_reference_SMT_70_EOcons_None,2024-11-05 15:15:22.386249,reference
1,Ks_scenarii,1,7,64,enkf_Evensen2009_Sakov,,0,1.0,1e-12,1,EOMAJI_AquaCrop_sc7_weather_reference_SMT_70_EOcons_None,2024-11-05 15:15:30.585213,reference
2,Ks_scenarii,1,7,64,enkf_Evensen2009_Sakov,,0,1.0,1e-12,1,EOMAJI_AquaCrop_sc7_weather_reference_SMT_70_EOcons_None,2024-11-05 15:22:44.484046,reference
3,Ks_scenarii,1,7,64,enkf_Evensen2009_Sakov,,0,1.0,1e+99,1,EOMAJI_AquaCrop_sc7_weather_reference_SMT_70_EOcons_None,2024-11-05 15:22:47.555832,reference
4,Ks_scenarii,1,7,64,enkf_Evensen2009_Sakov,,0,1.0,1e+99,1,EOMAJI_AquaCrop_sc7_weather_reference_SMT_70_EOcons_None,2024-11-05 15:58:17.058989,reference
5,Ks_scenarii,1,7,64,enkf_Evensen2009_Sakov,,0,1.0,1e-12,1,EOMAJI_AquaCrop_sc7_weather_reference_SMT_70_EOcons_None,2024-11-05 15:58:22.133532,reference
6,Ks_scenarii,1,7,64,enkf_Evensen2009_Sakov,zone,0,1.0,1e-12,1,EOMAJI_AquaCrop_sc7_weather_reference_SMT_70_EOcons_None,2024-11-05 17:39:52.152146,reference
7,Ks_scenarii,1,7,64,enkf_Evensen2009_Sakov,,0,1.0,1e-12,1,EOMAJI_AquaCrop_sc7_weather_reference_SMT_70_EOcons_None,2024-11-05 17:40:09.024797,reference
8,Ks_scenarii,1,7,64,enkf_Evensen2009_Sakov,,0,1.0,1e+99,1,EOMAJI_AquaCrop_sc7_weather_reference_SMT_70_EOcons_None,2024-11-05 17:40:21.014859,reference
9,Ks_scenarii,1,7,128,enkf_Evensen2009_Sakov,zone,0,1.0,1e-12,1,EOMAJI_AquaCrop_sc7_weather_reference_SMT_70_EOcons_None,2024-11-05 18:03:02.395144,reference
10,Ks_scenarii,1,7,128,enkf_Evensen2009_Sakov,zone,0,1.0,1e-11,1,EOMAJI_AquaCrop_sc7_weather_reference_SMT_70_EOcons_None,2024-11-05 18:10:21.744392,reference
11,Ks_scenarii,1,7,64,enkf_Evensen2009_Sakov,None,0,1.0,1e-11,1,EOMAJI_AquaCrop_sc7_weather_reference_SMT_70_EOcons_None,2024-11-05 18:10:33.868928,reference
